restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Kuttanad Restaurant,Adyar,600,4.4,581,3.6,73
Thaligai,Mylapore,400,4.2,575,4,1675
Nolita,Nungambakkam,700,4.1,340,3.9,209
Food Nirvana,RA Puram,800,4.4,547,4.3,635
Drizzle By The Beach,Palavakkam,1000,3.8,563,None,Not enough Delivery Reviews
Ox & Tomato,Teynampet,850,4,498,4,2795
Pasha - The Park,"The Park, Nungambakkam",3500,4.2,740,None,Does not offer Delivery
Teppan,Alwarpet,2000,4.3,363,4.1,164
Mahamudra,Mylapore,700,4,572,3.9,133
Seacrest MGM Beach Restobar,Muttukadu,1600,3.6,410,None,Does not offer Delivery
Al Kebabish,Anna Nagar East,400,None,Does not offer Dining,3.9,6535
Fika,Adyar,1000,3.6,387,None,Does not offer Delivery
Spice Haat - Hyatt Regency,"Hyatt Regency, Teynampet",3100,4.1,564,None,Does not offer Delivery
Masaledaar Firangi Tadka,Nungambakkam,900,4,294,3.9,1399
Dhabba Express,Teynampet,500,2.4,559,3.6,1677
Cafe CakeBee,Alwarpet,650,4.4,436,4.3,266
L'attitude 49,Grande Bay Resort,1800,4.4,563,None,Does not offer Delivery
D Cafe,T. Nagar,1200,3.4,552,None,Does not offer Delivery
Scooped,Velachery,300,4.2,301,4.2,760
Al Rayan,Selaiyur,450,3.9,708,3.6,17600
The Velveteen Rabbit,RA Puram,2000,4.3,516,3.9,93
Eagle Boys Pizza,Adyar,450,3.7,456,3.7,3038
Barbecue Kitchen,Ambattur,500,4.1,589,3.5,11900
Italiano,Anna Nagar East,550,4.1,504,3.7,911
Santé Spa Cuisine,Nungambakkam,1300,4.4,378,4.4,257
Dhaba In The City,Perungudi,400,4,452,3.8,5842
Nasi Kandar Pelita,T. Nagar,800,4,465,3.9,35
Mirchi Cuisine,Thuraipakkam,850,4.1,547,3.9,2001
The Noodle Theory,Kilpauk,450,4.2,445,4,937
AGS Biryani's,GST Road,500,4,533,4.1,7553
The English Tearoom,Alwarpet,1100,4.2,522,4,233
Bharat Bistro,Teynampet,1600,4.4,488,3.8,94
The Wharf 2.0 - Radisson BLU  Templebay,"Radisson Blu Temple Bay, Mamallapuram",3000,4.4,517,None,Does not offer Delivery
That Mallu Joint,T. Nagar,600,4.4,499,None,Does not offer Delivery
Ponnusamy Hotels,Nungambakkam,700,3.9,361,3.9,1679
The Madras Diner Multicuisine Restaurant,Mogappair,700,4.3,462,4.1,1702
Cafe G - Holiday Inn,Holiday Inn Chennai OMR IT Expressway,3000,4,285,3.9,54
Grillz,Injambakkam,1000,4.1,566,3.9,1489
Movenpick Ice Cream Boutique,Nungambakkam,1000,4.2,469,None,Does not offer Delivery
Hotel Virudhunagar,T. Nagar,500,4,497,4,167
Pasta Square,Gopalapuram,350,None,Does not offer Dining,3.6,3815
Ovenfresh Pizza's and Cake's,Velachery,500,4.1,454,3.3,2497
